,age,avg_time,category,geek_rating,id,max_players,mechanic,min_players,name,rank,rating_count,weight,year
2089,14,30,"['Science Fiction', 'Space Exploration']",7.3867899999999995,243358,4,"['Action / Movement Programming', 'Set Collection']",1,Space Park,3423.0,8,1.75,2018
2090,6,30,"['Bluffing', 'Card Game', 'Expansion for Base-game', 'Humor', 'Party Game']",8.1,174089,6,"['Simultaneous Action Selection', 'Voting']",3,Dixit: Anniversary Pack,,0,0.0,2015
2091,8,30,"['Dice', 'Puzzle']",6.5901,257726,4,"['Pattern Building', 'Tile Placement']",1,Brikks,3667.0,7,1.7143,2018
2092,10,60,"['Card Game', 'Deduction', 'Maze']",6.37805,245214,9,['Tile Placement'],3,Saboteur: The Lost Mines,7394.0,2,2.0,2018
2093,14,45,"['Card Game', 'Fighting', 'Science Fiction']",7.67121,174560,2,"['Area Control / Area Influence', 'Hand Management', 'Set Collection']",2,"Warhammer 40,000: Conquest – The Great Devourer",,11,3.0909,2015
2094,12,60,"['Card Game', 'Civilization', 'Economic', 'Expansion for Base-game', 'Science Fiction', 'Space Exploration']",8.33854,242309,5,"['Hand Management', 'Simultaneous Action Selection', 'Variable Phase Order', 'Variable Player Powers']",1,Race for the Galaxy: New Worlds Promo,,4,3.25,2017
2095,15,90,"['Animals', 'Science Fiction']",7.42857,197092,4,"['Action Point Allowance System', 'Cooperative Play', 'Dice Rolling', 'Variable Player Powers']",2,Sharknado: The Board Game!,,0,0.0,2016
2096,13,30,"['Card Game', 'Dice', 'Wargame', 'World War II']",7.0,102253,4,"['Card Drafting', 'Deck / Pool Building', 'Dice Rolling', 'Hand Management']",2,Spearpoint 1943: Eastern Front,,4,1.5,2015
2097,10,50,['Movies / TV / Radio theme'],6.06723,189166,4,"['Action / Movement Programming', 'Simultaneous Action Selection']",2,Bill & Ted's Excellent Boardgame,9283.0,6,2.5,2016
2098,13,10,['Card Game'],6.09477,155440,2,['Press Your Luck'],1,Pleasant Dreams,11127.0,9,1.1111,2015
2099,8,40,"['Dice', 'Fighting']",5.48917,206540,4,"['Action Point Allowance System', 'Dice Rolling', 'Grid Movement', 'Take That']",2,Banana Bandits,14935.0,5,1.6,2016
2100,17,180,"['Card Game', 'Collectible Components', 'Dice', 'Fighting', 'Miniatures', 'Movies / TV / Radio theme', 'Video Game Theme']",7.5,193429,6,"['Campaign / Battle Card Driven', 'Cooperative Play', 'Deck / Pool Building', 'Dice Rolling', 'Hand Management', 'Variable Player Powers']",2,Mortal Kombat X: The Miniatures Game,,0,0.0,2017
2101,10,30,"['Animals', 'Fantasy', 'Medieval']",6.4028,185344,4,['Set Collection'],2,Dragon Keeper: The Dungeon,7005.0,4,2.0,2016
2102,0,300,"['Animals', 'Civilization', 'Environmental', 'Expansion for Base-game', 'Prehistoric']",7.79563,134068,5,"['Area Movement', 'Auction/Bidding', 'Card Drafting', 'Point to Point Movement', 'Variable Player Powers']",1,BIOS: Origins,,4,4.0,2012
2103,0,30,"['Card Game', 'Wargame']",6.761830000000001,175177,2,['Hand Management'],2,Ogre: Objective 218,6391.0,6,1.6667,2016
2104,13,60,['Expansion for Base-game'],7.4557,204420,5,[],1,New Bedford: Rising Tide,,2,2.5,2016
2105,12,120,"['Economic', 'Expansion for Base-game', 'Industry / Manufacturing']",7.10195,190505,6,"['Auction/Bidding', 'Route/Network Building']",2,Power Grid: High-Voltage DC Transmission Passage C,,4,2.5,2015
2106,10,120,"['Expansion for Base-game', 'Fantasy', 'Fighting', 'Medieval']",7.82673,72851,2,"['Variable Player Powers', 'Worker Placement']",2,Stronghold: Undead,,17,3.6471,2010
2107,6,0,"[""Children's Game"", 'Fantasy']",6.41587,175496,4,"['Cooperative Play', 'Dice Rolling', 'Grid Movement']",2,Cauldron Quest,9680.0,4,1.0,2015
2108,10,60,"['Ancient', 'Civilization']",7.6588899999999995,264647,4,"['Action Point Allowance System', 'Variable Player Powers']",1,Age of Civilization,8418.0,7,2.2857,2019
2109,8,35,"['Animals', 'Card Game', 'Humor', 'Party Game']",7.18375,186904,8,['Voting'],3,The Champion of the Wild,6932.0,4,1.0,2018
2110,10,40,"['Card Game', 'Environmental']",6.621239999999999,206471,5,['Trick-taking'],3,Eternity,4821.0,6,2.1667,2016
2111,16,90,"['Fighting', 'Humor', 'Miniatures', 'Science Fiction', 'Video Game Theme', 'Wargame']",6.33714,233266,4,"['Action Point Allowance System', 'Cooperative Play', 'Grid Movement', 'Modular Board', 'Partnerships', 'Variable Player Powers']",2,Agents of Mayhem: Pride of Babylon,,2,2.5,2019
2112,12,90,"['Expansion for Base-game', 'Medieval', 'Territory Building']",7.7188,193585,4,"['Dice Rolling', 'Tile Placement']",2,The Castles of Burgundy: 7th Expansion – German Board Game Championship Board 2016,,2,2.5,2016
2113,14,90,['Economic'],7.0765199999999995,165022,4,"['Auction/Bidding', 'Simulation', 'Simultaneous Action Selection']",3,€uro Crisis,6352.0,8,3.125,2015
2114,14,60,"['Dice', 'Science Fiction']",7.66667,225274,4,"['Cooperative Play', 'Dice Rolling', 'Worker Placement']",1,Deep Space D-6: Armada,,0,0.0,2018
2115,0,0,"['Dice', 'Expansion for Base-game', 'Movies / TV / Radio theme', 'Science Fiction', 'Wargame']",8.00044,175285,2,"['Action / Movement Programming', 'Dice Rolling', 'Variable Player Powers']",2,Star Wars: Armada – Rogues and Villains Expansion Pack,,3,3.0,2015
2116,12,60,"['Card Game', 'Fantasy', 'Fighting', 'Horror', 'Miniatures']",5.98,182252,4,"['Cooperative Play', 'Deck / Pool Building', 'Modular Board', 'Tile Placement']",1,Darkness Sabotage,,0,0.0,2018
2117,8,45,"['Card Game', 'Fantasy']",7.17462,219276,5,"['Card Drafting', 'Hand Management']",2,Dungeon Draft,4507.0,6,1.6667,2017
2118,14,60,"['Bluffing', 'Deduction', 'Fantasy']",8.0,222750,4,"['Grid Movement', 'Memory', 'Modular Board', 'Pick-up and Deliver', 'Secret Unit Deployment']",2,Hunt the Ravager,,2,2.0,2019
2119,10,40,['Card Game'],6.63858,254894,4,"['Card Drafting', 'Set Collection']",2,Catalyst,6343.0,6,2.0,2018
2120,12,30,"['Deduction', 'Murder/Mystery', 'Spies/Secret Agents']",5.81939,154778,6,"['Player Elimination', 'Point to Point Movement', 'Secret Unit Deployment', 'Simultaneous Action Selection']",4,AssassinCon,10512.0,2,1.0,2016
