,rank,id,name,age,avg_time,min_players,max_players,mechanic,category,weight,year,geek,avg,num_rev
2689,,176806,Suburbia: Con Tiles,8,90,1,4,"['Card Drafting', 'Tile Placement']","['City Building', 'Economic', 'Expansion for Base-game']",2.75,2015,5.6129999999999995,6.89,120.0
2690,6849.0,234093,Rob 'n Run,10,60,2,5,['Cooperative Play'],['Deduction'],2.75,2017,5.5889999999999995,6.89,112.0
2691,,203499,"Hero Realms: Tibus, Guild Lord Promo Cards",0,0,1,4,"['Cooperative Play', 'Deck / Pool Building']","['Card Game', 'Fantasy', 'Fighting']",0.0,2016,5.627999999999999,7.27,102.0
2692,,223456,The Pursuit of Happiness: Community,12,90,1,5,"['Simulation', 'Worker Placement']",['Expansion for Base-game'],2.5,2017,5.771,7.79,170.0
2693,,194609,"Save the President, Save the World",10,90,1,5,"['Action Point Allowance System', 'Area Movement', 'Cooperative Play', 'Simultaneous Action Selection']",['Humor'],0.0,2017,,6.65,10.0
2694,,256876,Football Highlights: 2052,9,60,1,4,"['Card Drafting', 'Deck / Pool Building', 'Hand Management']","['Card Game', 'Science Fiction', 'Sports']",0.0,2019,,7.69,4.0
2695,,251066,Star Wars: Imperial Assault – Tyrants of Lothal,14,120,2,5,"['Dice Rolling', 'Grid Movement', 'Modular Board', 'Partnerships', 'Role Playing', 'Variable Player Powers']","['Adventure', 'Expansion for Base-game', 'Fighting', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Wargame']",0.0,2018,5.699,8.64,99.0
2696,,202241,Masmorra: Dungeons of Arcadia – Adventurers Set,5,45,1,5,"['Dice Rolling', 'Modular Board', 'Take That', 'Variable Player Powers']","['Adventure', 'Dice', 'Fantasy', 'Miniatures']",0.0,2016,5.72,7.69,161.0
2697,6149.0,225976,Emperor's Choice,12,120,3,5,"['Auction/Bidding', 'Set Collection']",['Ancient'],3.3333,2017,5.609,7.31,80.0
2698,7531.0,172164,Dohdles!,10,60,3,6,[],"['Deduction', 'Party Game']",2.0,2015,5.572,6.51,105.0
2699,,178032,Project: ELITE – Adrenaline,0,0,1,4,"['Cooperative Play', 'Dice Rolling', 'Grid Movement', 'Variable Player Powers']","['Fighting', 'Miniatures', 'Real-time', 'Science Fiction']",2.5,2015,5.664,7.73,104.0
2700,,181562,Shadows of Brimstone: Other Worlds – Blasted Wastes,12,120,1,4,"['Cooperative Play', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Role Playing']","['Adventure', 'American West', 'Exploration', 'Horror', 'Miniatures']",0.0,2018,5.617000000000001,8.49,60.0
2701,,176636,Dungeon Fighter: Rock and Roll,8,60,1,6,"['Cooperative Play', 'Dice Rolling']","['Action / Dexterity', 'Dice', 'Exploration', 'Fantasy', 'Humor']",1.7778,2015,5.789,7.58,201.0
2702,,194810,Marvel Universe Miniature Game: The Avengers Starter Set,12,0,2,2,"['Action Point Allowance System', 'Dice Rolling', 'Variable Player Powers']","['Comic Book / Strip', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Wargame']",0.0,2016,,7.62,16.0
2703,4587.0,214204,ARGH,8,15,2,4,"['Press Your Luck', 'Set Collection', 'Take That']","['Animals', 'Bluffing', 'Card Game', 'Deduction']",1.2,2017,5.681,6.96,199.0
2704,3754.0,169275,Pixel Tactics 4,12,45,2,2,"['Hand Management', 'Variable Player Powers']","['Card Game', 'Fantasy', 'Fighting', 'Video Game Theme']",2.0,2015,5.751,7.38,210.0
2705,,187203,Simurgh: Call of the Dragonlord,12,0,2,5,"['Card Drafting', 'Tile Placement', 'Variable Player Powers', 'Worker Placement']","['Fantasy', 'Farming', 'Racing']",3.5,2016,5.646,7.34,112.0
2706,14755.0,183532,Star Wars: Galaxy Rebellion,8,45,2,4,"['Dice Rolling', 'Press Your Luck', 'Set Collection', 'Variable Player Powers']","['Dice', 'Movies / TV / Radio theme', 'Science Fiction']",1.0,2015,5.492000000000001,5.19,57.0
2707,,165492,The Majority: Complete Edition,13,45,2,4,"['Card Drafting', 'Partnerships', 'Take That']","['Card Game', 'Fantasy']",1.8333,2015,5.575,7.12,61.0
2708,,231655,Can of Squirms,17,0,4,8,['Voting'],['Party Game'],0.0,2017,,4.11,9.0
2709,,189137,Fields of Arle: Advent Calendar Expansion,13,120,1,2,['Worker Placement'],"['Economic', 'Expansion for Base-game', 'Farming', 'Industry / Manufacturing']",4.0,2015,5.627999999999999,7.5,85.0
2710,,97432,The Phoenix Syndicate,14,90,2,4,"['Route/Network Building', 'Variable Phase Order']",['Space Exploration'],3.5,2019,,8.33,7.0
2711,4467.0,181370,Mint Tin Mini Apocalypse,10,10,2,2,"['Area Control / Area Influence', 'Dice Rolling']","['Real-time', 'Science Fiction']",1.0435,2015,5.688,7.12,280.0
2712,7784.0,220987,Bloody Monday,10,120,2,2,"['Area Movement', 'Area-Impulse', 'Dice Rolling']","['Napoleonic', 'Wargame']",3.3333,2017,5.568,8.15,39.0
2713,,179607,Zombicide: Black Plague Special Guest Box – Paolo Parente,10,0,1,6,"['Action Point Allowance System', 'Cooperative Play', 'Dice Rolling', 'Hand Management', 'Modular Board', 'Variable Player Powers']","['Expansion for Base-game', 'Fantasy', 'Horror', 'Miniatures', 'Zombies']",2.0,2015,5.688,8.05,113.0
2714,4025.0,247935,Tramways Engineer's Workbook,12,30,1,2,"['Crayon Rail System', 'Modular Board', 'Pick-up and Deliver', 'Route/Network Building', 'Tile Placement']","['City Building', 'Trains', 'Transportation']",3.0,2018,5.725,7.71,145.0
2715,,192878,Thunderbirds: Tracy Island,10,60,1,4,"['Cooperative Play', 'Pick-up and Deliver', 'Storytelling', 'Variable Player Powers']","['Expansion for Base-game', 'Movies / TV / Radio theme', 'Science Fiction']",2.6667,2016,5.789,7.9,181.0
2716,6414.0,151450,Bull Moose,10,90,3,5,"['Area Control / Area Influence', 'Campaign / Battle Card Driven', 'Point to Point Movement', 'Take That']",['Political'],2.25,2015,5.6,7.45,69.0
2717,,250532,King of Tokyo/New York: Monster Pack – Anubis,8,30,2,6,"['Area Control / Area Influence', 'Area Movement', 'Card Drafting', 'Dice Rolling', 'Player Elimination', 'Press Your Luck']","['Dice', 'Expansion for Base-game', 'Fighting', 'Movies / TV / Radio theme', 'Science Fiction']",1.5,2018,5.705,7.75,141.0
2718,,180166,Zombicide: Black Plague Special Guest Box – Naïade,10,0,1,6,"['Action Point Allowance System', 'Cooperative Play', 'Dice Rolling', 'Hand Management', 'Modular Board', 'Variable Player Powers']","['Expansion for Base-game', 'Horror', 'Miniatures', 'Zombies']",2.0,2015,5.89,7.76,295.0
